worktree,name,pid,command,cwd
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,12972,main,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,43875,uv,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,43876,python3.13,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,77097,sleep,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,90727,bash,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,90778,bash,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,90783,script,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,90784,bash,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,90787,make,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,90788,bash,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820,coach-fixture-runner-20260820,90842,air,/Users/aelaguiz/workspace/psmobile-worktrees/coach-fixture-runner-20260820/backend
/Users/aelaguiz/workspace/psmobile-worktrees/pvai-coach-ledger-followup-20260818,pvai-coach-ledger-followup-20260818,13164,flutter_tester,/Users/aelaguiz/workspace/psmobile-worktrees/pvai-coach-ledger-followup-20260818/apps/flutter
/Users/aelaguiz/workspace/psmobile-worktrees/pvai-3p-e2e-client2-20260818,pvai-3p-e2e-client2-20260818,14891,server,/Users/aelaguiz/workspace/psmobile-worktrees/pvai-3p-e2e-client2-20260818/backend
/Users/aelaguiz/workspace/psmobile-worktrees/pvai-3p-j3-launch-20260817,pvai-3p-j3-launch-20260817,20663,dartvm,/Users/aelaguiz/workspace/psmobile-worktrees/pvai-3p-j3-launch-20260817/apps/flutter
/Users/aelaguiz/workspace/psmobile-worktrees/pvai-3p-j3-launch-20260817,pvai-3p-j3-launch-20260817,20664,tail,/Users/aelaguiz/workspace/psmobile-worktrees/pvai-3p-j3-launch-20260817/apps/flutter
/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814,completed-path-coach-occlusion-20260814,37121,make,/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814/backend
/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814,completed-path-coach-occlusion-20260814,37145,bash,/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814/backend
/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814,completed-path-coach-occlusion-20260814,37179,bash,/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814/backend
/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814,completed-path-coach-occlusion-20260814,37184,script,/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814/backend
/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814,completed-path-coach-occlusion-20260814,37185,bash,/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814/backend
/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814,completed-path-coach-occlusion-20260814,37188,make,/Users/aelaguiz/workspace/psmobile-worktrees/completed-path-coach-occlusion-20260814/backend
