scope,path,GiB,TiB,classification,notes
home,/Users/aelaguiz,3660.456039428711,3.5746641010046005,inventory,
home child,~/workspace,2358.8934745788574,2.3036069087684155,mixed,
workspace child,~/workspace/psmobile-worktrees,1526.7379112243652,1.4909549914300442,worktree fleet,
home child,~/Library,661.4619331359863,0.6459589190781116,mixed,
Library child,~/Library/Developer,477.6811103820801,0.4664854593575001,developer state,
Developer child,~/Library/Developer/CoreSimulator,418.97438049316406,0.40915466845035553,device state,
large path,~/workspace/psagentspace,193.55659866333008,0.18902011588215828,mixed,
large path,~/.colima,160.781494140625,0.1570131778717041,mixed,
large path,~/workspace/logan,133.38792037963867,0.1302616409957409,mixed,
large path,~/workspace/rustai-worktrees,109.32883071899414,0.10676643624901772,mixed,
large path,~/.android,101.2100830078125,0.0988379716873169,mixed,
large path,~/.prime,99.42264556884766,0.09709242731332779,mixed,
large path,~/.cache,68.78089904785156,0.06716884672641754,mixed,
large path,~/.codex,45.693321228027344,0.04462238401174545,mixed,
